length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,pop_den_length,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
11638.801999999994,11638.801999999994,11.321357424669934,0.6495670618776845,0.6495670618776845,5,1,190999864.96020612,8751.055000000002,8794.344000000001,7214.0555995255,0.6384835415465367,0.6972283370255359,0.6972283370255359
17820.775000000023,17820.775000000023,16.102194536032158,0.6286321216711208,0.6286321216711208,7,1,271842719.38551015,13956.197000000011,13999.48600000001,6643.4982330690855,0.6823807772505872,0.6772766014882707,0.6772766014882707
20974.589000000014,20974.589000000014,18.879371586445085,0.6495789827679282,0.6495789827679282,8,1,299597366.82541066,16325.96000000001,16369.249000000009,6338.677436878913,0.6834675064190779,0.6949863750102218,0.6949863750102218
35858.650000000016,35858.650000000016,30.751977874816426,0.6194617684209885,0.6194617684209885,13,1,497266475.23567104,28756.924000000035,28813.50900000003,5490.868502319105,0.9553893505611302,0.6728860632884238,0.6728860632884238
37395.062000000034,37395.062000000034,31.622072114395564,0.6178669118146718,0.6178669118146718,14,1,539700143.0566863,29723.71000000002,29780.29500000002,5420.242345103927,0.9523417638677097,0.6691876517155692,0.6691876517155692
45318.99800000011,45318.99800000011,37.76971424170823,0.6207406836582438,0.6207406836582438,16,1,612016694.6015756,33604.14000000001,33660.725000000006,5342.864947319005,0.9518642386136602,0.6609869938806184,0.6609869938806184
53340.06500000003,53340.06500000003,44.18171684220964,0.6131309911680886,0.6131309911680886,19,1,688527527.4519924,37923.71300000006,38031.59100000007,5052.747508245827,0.9384612108091814,0.6446938062336618,0.6446938062336618
54764.799000000035,54764.799000000035,45.30469443811416,0.6160715593636265,0.6160715593636265,20,1,694410392.4069543,38447.13100000006,38555.00900000006,5065.157402098673,0.9379355439928534,0.6466906473150079,0.6466906473150079
61011.323000000004,61011.323000000004,48.56582730177802,0.6597940683838623,0.6597940683838623,22,1,780067197.4504623,42241.32400000008,42467.169000000074,5169.395670194674,0.929132080895121,0.6778300340236754,0.6778300340236754
68854.21600000003,68854.21600000003,54.56281380966355,0.6726744660077931,0.6726744660077931,26,1,842414580.9338692,47601.52700000008,47827.37200000007,4989.163687231174,0.9223764848284606,0.6841742601304179,0.6841742601304179
71534.22700000006,71534.22700000006,56.898957013499604,0.669227061815155,0.669227061815155,28,1,854048230.1238952,49381.170000000064,49607.01500000005,4898.018814728133,0.918276937847671,0.6805901675068123,0.6805901675068123
78131.35499999991,78131.35499999991,60.84817640781746,0.6634596346974321,0.6634596346974321,30,1,895594440.7344774,52335.05600000004,52560.90100000005,4822.734513013392,0.925809437836413,0.6800877120912486,0.6800877120912486
80959.79899999982,80959.79899999982,62.56806738142023,0.6679355002110365,0.6679355002110365,31,1,913301711.1332401,53145.27100000004,54042.00700000002,4776.495768382511,0.9243207970196481,0.6852166198358071,0.6852166198358071
86719.24999999984,86719.24999999984,66.14845438885844,0.6869038156603048,0.6869038156603048,33,1,965086793.5328054,56255.13800000001,57151.873999999996,4634.638802619746,0.9264287187178559,0.7061911691171597,0.7061911691171597
92341.10799999975,92341.10799999975,71.30780194005014,0.691238465080446,0.691238465080446,36,1,990386288.50474,58467.66500000002,59364.401000000005,4604.825483837637,0.9222212090943941,0.7029896367966045,0.7029896367966045
95720.00799999977,95720.00799999977,74.24966368864801,0.6873883304682263,0.6873883304682263,38,1,1004473364.4152721,59270.946,60167.682,4548.388295724264,0.9202893875323358,0.7039990647468574,0.7039990647468574
